race_id,horse_id,horse_name,frame_number,horse_number,current_jockey,assigned_weight,current_odds,current_popularity,target_track,target_race_date,target_race_number,target_surface,target_distance,target_weather,target_track_condition,target_conditions_captured_at,horse_country,history_count
20260607_東京_11,pw01dud002017103751/0E,サクラトゥジュール,3,5,佐々木 大輔,58,197.4,16,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002018104708/5E,ロングラン,1,2,F.ゴンサルベス,58,392.1,17,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002019102632/59,セイウンハーデス,7,13,幸 英明,58,11,6,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002019104476/E1,ガイアフォース,7,14,横山 武史,58,2.9,1,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002020102078/A4,レーベンスティール,1,1,戸崎 圭太,58,7.9,3,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002020103075/3A,シャンパンカラー,4,8,岩田 康誠,58,35.7,10,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002020105018/11,スズハローム,4,7,藤懸 貴志,58,44.7,12,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002021100953/AC,ウォーターリヒト,5,9,高杉 吏麒,58,30.8,9,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002021104094/62,シリウスコルト,6,12,横山 和生,58,181.2,15,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002021105557/5F,トロヴァトーレ,8,17,C.ルメール,58,4.9,2,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002021105724/38,シックスペンス,2,4,武 豊,58,21.6,8,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002021105743/E5,ステレンボッシュ,3,6,D.レーン,56,9.5,5,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002021105864/A9,ワールズエンド,6,11,津村 明秀,58,15.1,7,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002021110031/BB,オフトレイル,2,3,菅原 明良,58,35.7,10,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002022101732/32,パンジャタワー,8,16,松山 弘平,58,8.3,4,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002022105891/0C,ドラゴンブースト,8,15,丹内 祐次,58,47.2,13,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
20260607_東京_11,pw01dud002022110083/7D,ルクソールカフェ,5,10,岩田 望来,58,90.6,14,東京,2026-06-07,11,芝,1600,,,2026-06-07T07:11:27.829366+00:00,,4
