race_id,horse_id,horse_name,horse_number,current_odds,current_popularity,captured_at
20260607_東京_11,pw01dud002017103751/0E,サクラトゥジュール,5,111.7,15,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002018104708/5E,ロングラン,2,210,17,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002019102632/59,セイウンハーデス,13,13.4,6,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002019104476/E1,ガイアフォース,14,3.6,1,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002020102078/A4,レーベンスティール,1,7.8,3,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002020103075/3A,シャンパンカラー,8,28,11,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002020105018/11,スズハローム,7,21.6,9,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002021100953/AC,ウォーターリヒト,9,26.9,10,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002021104094/62,シリウスコルト,12,136.8,16,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002021105557/5F,トロヴァトーレ,17,3.6,1,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002021105724/38,シックスペンス,4,21.5,8,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002021105743/E5,ステレンボッシュ,6,10.5,4,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002021105864/A9,ワールズエンド,11,19,7,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002021110031/BB,オフトレイル,3,43.6,13,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002022101732/32,パンジャタワー,16,10.6,5,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002022105891/0C,ドラゴンブースト,15,33.5,12,2026-06-22T23:45:59.112765+00:00
20260607_東京_11,pw01dud002022110083/7D,ルクソールカフェ,10,51.9,14,2026-06-22T23:45:59.112765+00:00
